DATE,JTSJOL,,
1/1/01,5234.00,,
2/1/01,5097.00,,
3/1/01,4762.00,,
4/1/01,4615.00,,
5/1/01,4425.00,,
6/1/01,4361.00,,
7/1/01,4447.00,,
8/1/01,4024.00,,
9/1/01,4071.00,,
10/1/01,3707.00,,
11/1/01,3775.00,,
12/1/01,3677.00,,
1/1/02,3699.00,,
2/1/02,3436.00,,
3/1/02,3612.00,,
4/1/02,3471.00,,
5/1/02,3457.00,,
6/1/02,3412.00,,
7/1/02,3367.00,,
8/1/02,3517.00,,
9/1/02,3301.00,,
10/1/02,3479.00,,
11/1/02,3514.00,,
12/1/02,3169.00,,
1/1/03,3441.00,,
2/1/03,3229.00,,
3/1/03,3099.00,,
4/1/03,3108.00,,
5/1/03,3289.00,,
6/1/03,3390.00,,
7/1/03,2981.00,,
8/1/03,3190.00,,
9/1/03,3091.00,,
10/1/03,3305.00,,
11/1/03,3324.00,,
12/1/03,3414.00,,
1/1/04,3424.00,,
2/1/04,3532.00,,
3/1/04,3525.00,,
4/1/04,3511.00,,
5/1/04,3710.00,,
6/1/04,3337.00,,
7/1/04,3814.00,,
8/1/04,3541.00,,
9/1/04,3821.00,,
10/1/04,3943.00,,
11/1/04,3472.00,,
12/1/04,4074.00,,
1/1/05,3804.00,,
2/1/05,3965.00,,
3/1/05,4044.00,,
4/1/05,4159.00,,
5/1/05,3797.00,,
6/1/05,4062.00,,
7/1/05,4256.00,,
8/1/05,4142.00,,
9/1/05,4352.00,,
10/1/05,4184.00,,
11/1/05,4248.00,,
12/1/05,4282.00,,
1/1/06,4397.00,,
2/1/06,4325.00,,
3/1/06,4732.00,,
4/1/06,4790.00,,
5/1/06,4463.00,,
6/1/06,4614.00,,
7/1/06,4394.00,,
8/1/06,4710.00,,
9/1/06,4737.00,,
10/1/06,4591.00,,
11/1/06,4645.00,,
12/1/06,4620.00,,
1/1/07,4763.00,,
2/1/07,4699.00,,
3/1/07,4962.00,,
4/1/07,4689.00,,
5/1/07,4657.00,,
6/1/07,4859.00,,
7/1/07,4598.00,,
8/1/07,4546.00,,
9/1/07,4652.00,,
10/1/07,4636.00,,
11/1/07,4646.00,,
12/1/07,4545.00,,
1/1/08,4624.00,,
2/1/08,4279.00,,
3/1/08,4225.00,,
4/1/08,4035.00,,
5/1/08,4194.00,,
6/1/08,3830.00,,
7/1/08,3749.00,,
8/1/08,3674.00,,
9/1/08,3222.00,,
10/1/08,3377.00,,
11/1/08,3231.00,,
12/1/08,3146.00,,
1/1/09,2738.00,,
2/1/09,2864.00,,
3/1/09,2534.00,,
4/1/09,2295.00,,
5/1/09,2549.00,,
6/1/09,2503.00,,
7/1/09,2232.00,,
8/1/09,2338.00,,
9/1/09,2487.00,,
10/1/09,2406.00,,
11/1/09,2503.00,,
12/1/09,2568.00,,
1/1/10,2837.00,,
2/1/10,2666.00,,
3/1/10,2679.00,,
4/1/10,3153.00,,
5/1/10,2988.00,,
6/1/10,2801.00,,
7/1/10,3082.00,,
8/1/10,2999.00,,
9/1/10,2918.00,,
10/1/10,3235.00,,
11/1/10,3211.00,,
12/1/10,3058.00,,
1/1/11,3104.00,,
2/1/11,3226.00,,
3/1/11,3261.00,,
4/1/11,3259.00,,
5/1/11,3179.00,,
6/1/11,3455.00,,
7/1/11,3623.00,,
8/1/11,3329.00,,
9/1/11,3774.00,,
10/1/11,3619.00,,
11/1/11,3565.00,,
12/1/11,3768.00,,
1/1/12,3909.00,,
2/1/12,3616.00,,
3/1/12,3979.00,,
4/1/12,3793.00,,
5/1/12,3835.00,,
6/1/12,3911.00,,
7/1/12,3735.00,,
8/1/12,3809.00,,
9/1/12,3882.00,,
10/1/12,3775.00,,
11/1/12,3878.00,,
12/1/12,3970.00,,
1/1/13,3923.00,,
2/1/13,4004.00,,
3/1/13,4076.00,,
4/1/13,3988.00,,
5/1/13,4145.00,,
6/1/13,4150.00,,
7/1/13,3885.00,,
8/1/13,4085.00,,
9/1/13,4128.00,,
10/1/13,4222.00,,
11/1/13,4119.00,,
12/1/13,4121.00,,
1/1/14,4127.00,,
2/1/14,4373.00,,
3/1/14,4388.00,,
4/1/14,4566.00,,
5/1/14,4747.00,,
6/1/14,4982.00,,
7/1/14,4846.00,,
8/1/14,5349.00,,
9/1/14,4914.00,,
10/1/14,5012.00,,
11/1/14,4843.00,,
12/1/14,5130.00,,
1/1/15,5344.00,,
2/1/15,5466.00,,
3/1/15,5210.00,,
4/1/15,5598.00,,
5/1/15,5563.00,,
6/1/15,5248.00,,
7/1/15,6056.00,,
8/1/15,5467.00,,
9/1/15,5488.00,,
10/1/15,5773.00,,
11/1/15,5708.00,,
12/1/15,5845.00,,
1/1/16,6012.00,,
2/1/16,5770.00,,
3/1/16,6129.00,,
4/1/16,5803.00,,
5/1/16,5777.00,,
6/1/16,5742.00,,
7/1/16,5962.00,,
8/1/16,5677.00,,
9/1/16,5868.00,,
10/1/16,5591.00,,
11/1/16,5971.00,,
12/1/16,5964.00,,
1/1/17,5646.00,,
2/1/17,5931.00,,
3/1/17,5813.00,,
4/1/17,6103.00,,
5/1/17,5810.00,,
6/1/17,6334.00,,
7/1/17,6203.00,,
8/1/17,6300.00,,
9/1/17,6279.00,,
10/1/17,6380.00,,
11/1/17,6282.00,,
12/1/17,6359.00,,
1/1/18,6601.00,,
2/1/18,6586.00,,
3/1/18,6833.00,,
4/1/18,6910.00,,
5/1/18,6987.00,,
6/1/18,7271.00,,
7/1/18,7209.00,,
8/1/18,7204.00,,
9/1/18,7352.00,,
10/1/18,7295.00,,
11/1/18,7574.00,,
12/1/18,7436.00,,
1/1/19,7478.00,,
2/1/19,7058.00,,
3/1/19,7332.00,,
4/1/19,7257.00,,
5/1/19,7279.00,,
6/1/19,7165.00,,
7/1/19,7137.00,,
8/1/19,7150.00,,
9/1/19,7100.00,,
10/1/19,7340.00,,
11/1/19,6915.00,,
12/1/19,6730.00,,
1/1/20,7154.00,,
2/1/20,7012.00,,
3/1/20,5769.00,,
4/1/20,4630.00,,
5/1/20,5447.00,,
6/1/20,6112.00,,
7/1/20,6717.00,,
8/1/20,6451.00,,
9/1/20,6611.00,,
10/1/20,6873.00,,
11/1/20,6766.00,,
12/1/20,6752.00,,
1/1/21,7099.00,,
2/1/21,7526.00,,
3/1/21,8288.00,,
4/1/21,9193.00,,
5/1/21,9483.00,,
6/1/21,10185.00,,
7/1/21,10934.00,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,