DATE,UNEMPLOY
1/1/01,6023.00
2/1/01,6089.00
3/1/01,6141.00
4/1/01,6271.00
5/1/01,6226.00
6/1/01,6484.00
7/1/01,6583.00
8/1/01,7042.00
9/1/01,7142.00
10/1/01,7694.00
11/1/01,8003.00
12/1/01,8258.00
1/1/02,8182.00
2/1/02,8215.00
3/1/02,8304.00
4/1/02,8599.00
5/1/02,8399.00
6/1/02,8393.00
7/1/02,8390.00
8/1/02,8304.00
9/1/02,8251.00
10/1/02,8307.00
11/1/02,8520.00
12/1/02,8640.00
1/1/03,8520.00
2/1/03,8618.00
3/1/03,8588.00
4/1/03,8842.00
5/1/03,8957.00
6/1/03,9266.00
7/1/03,9011.00
8/1/03,8896.00
9/1/03,8921.00
10/1/03,8732.00
11/1/03,8576.00
12/1/03,8317.00
1/1/04,8370.00
2/1/04,8167.00
3/1/04,8491.00
4/1/04,8170.00
5/1/04,8212.00
6/1/04,8286.00
7/1/04,8136.00
8/1/04,7990.00
9/1/04,7927.00
10/1/04,8061.00
11/1/04,7932.00
12/1/04,7934.00
1/1/05,7784.00
2/1/05,7980.00
3/1/05,7737.00
4/1/05,7672.00
5/1/05,7651.00
6/1/05,7524.00
7/1/05,7406.00
8/1/05,7345.00
9/1/05,7553.00
10/1/05,7453.00
11/1/05,7566.00
12/1/05,7279.00
1/1/06,7064.00
2/1/06,7184.00
3/1/06,7072.00
4/1/06,7120.00
5/1/06,6980.00
6/1/06,7001.00
7/1/06,7175.00
8/1/06,7091.00
9/1/06,6847.00
10/1/06,6727.00
11/1/06,6872.00
12/1/06,6762.00
1/1/07,7116.00
2/1/07,6927.00
3/1/07,6731.00
4/1/07,6850.00
5/1/07,6766.00
6/1/07,6979.00
7/1/07,7149.00
8/1/07,7067.00
9/1/07,7170.00
10/1/07,7237.00
11/1/07,7240.00
12/1/07,7645.00
1/1/08,7685.00
2/1/08,7497.00
3/1/08,7822.00
4/1/08,7637.00
5/1/08,8395.00
6/1/08,8575.00
7/1/08,8937.00
8/1/08,9438.00
9/1/08,9494.00
10/1/08,10074.00
11/1/08,10538.00
12/1/08,11286.00
1/1/09,12058.00
2/1/09,12898.00
3/1/09,13426.00
4/1/09,13853.00
5/1/09,14499.00
6/1/09,14707.00
7/1/09,14601.00
8/1/09,14814.00
9/1/09,15009.00
10/1/09,15352.00
11/1/09,15219.00
12/1/09,15098.00
1/1/10,15046.00
2/1/10,15113.00
3/1/10,15202.00
4/1/10,15325.00
5/1/10,14849.00
6/1/10,14474.00
7/1/10,14512.00
8/1/10,14648.00
9/1/10,14579.00
10/1/10,14516.00
11/1/10,15081.00
12/1/10,14348.00
1/1/11,14013.00
2/1/11,13820.00
3/1/11,13737.00
4/1/11,13957.00
5/1/11,13855.00
6/1/11,13962.00
7/1/11,13763.00
8/1/11,13818.00
9/1/11,13948.00
10/1/11,13594.00
11/1/11,13302.00
12/1/11,13093.00
1/1/12,12797.00
2/1/12,12813.00
3/1/12,12713.00
4/1/12,12646.00
5/1/12,12660.00
6/1/12,12692.00
7/1/12,12656.00
8/1/12,12471.00
9/1/12,12115.00
10/1/12,12124.00
11/1/12,12005.00
12/1/12,12298.00
1/1/13,12471.00
2/1/13,11950.00
3/1/13,11689.00
4/1/13,11760.00
5/1/13,11654.00
6/1/13,11751.00
7/1/13,11335.00
8/1/13,11279.00
9/1/13,11270.00
10/1/13,11136.00
11/1/13,10787.00
12/1/13,10404.00
1/1/14,10202.00
2/1/14,10349.00
3/1/14,10380.00
4/1/14,9702.00
5/1/14,9859.00
6/1/14,9460.00
7/1/14,9608.00
8/1/14,9599.00
9/1/14,9262.00
10/1/14,8990.00
11/1/14,9090.00
12/1/14,8717.00
1/1/15,8885.00
2/1/15,8599.00
3/1/15,8515.00
4/1/15,8550.00
5/1/15,8834.00
6/1/15,8247.00
7/1/15,8167.00
8/1/15,7992.00
9/1/15,7907.00
10/1/15,7922.00
11/1/15,8000.00
12/1/15,7907.00
1/1/16,7627.00
2/1/16,7702.00
3/1/16,7961.00
4/1/16,8067.00
5/1/16,7652.00
6/1/16,7744.00
7/1/16,7641.00
8/1/16,7784.00
9/1/16,7953.00
10/1/16,7811.00
11/1/16,7553.00
12/1/16,7521.00
1/1/17,7466.00
2/1/17,7376.00
3/1/17,7119.00
4/1/17,7196.00
5/1/17,7020.00
6/1/17,6861.00
7/1/17,6825.00
8/1/17,7079.00
9/1/17,6840.00
10/1/17,6620.00
11/1/17,6759.00
12/1/17,6632.00
1/1/18,6496.00
2/1/18,6590.00
3/1/18,6499.00
4/1/18,6551.00
5/1/18,6209.00
6/1/18,6432.00
7/1/18,6130.00
8/1/18,6167.00
9/1/18,6037.00
10/1/18,6164.00
11/1/18,6115.00
12/1/18,6379.00
1/1/19,6442.00
2/1/19,6128.00
3/1/19,6201.00
4/1/19,5995.00
5/1/19,5965.00
6/1/19,5914.00
7/1/19,5969.00
8/1/19,6000.00
9/1/19,5728.00
10/1/19,5922.00
11/1/19,5907.00
12/1/19,5844.00
1/1/20,5796.00
2/1/20,5717.00
3/1/20,7185.00
4/1/20,23109.00
5/1/20,20975.00
6/1/20,17697.00
7/1/20,16308.00
8/1/20,13542.00
9/1/20,12535.00
10/1/20,11049.00
11/1/20,10728.00
12/1/20,10736.00
1/1/21,10130.00
2/1/21,9972.00
3/1/21,9710.00
4/1/21,9812.00
5/1/21,9316.00
6/1/21,9484.00
7/1/21,8702.00
,