Date,High skill,Low skill,Mid skill,Overall,High school of less,Associates degree,Bachelors degree or higher,Overall
12/1/1997,5.0,4.3,4.6,4.7,4.6,4.6,5.0,4.7
1/1/1998,5.1,4.3,4.7,4.7,4.6,4.5,5.1,4.7
2/1/1998,5.1,4.2,4.7,4.7,4.6,4.5,5.1,4.7
3/1/1998,5.1,4.2,4.7,4.7,4.7,4.5,5.1,4.7
4/1/1998,5.1,4.4,4.7,4.8,4.7,4.6,5.1,4.8
5/1/1998,5.3,4.5,4.8,4.9,4.8,4.7,5.3,4.9
6/1/1998,5.4,4.5,4.8,4.9,4.8,4.8,5.3,4.9
7/1/1998,5.3,4.7,4.8,5.0,4.9,4.7,5.4,5.0
8/1/1998,5.4,4.8,4.8,5.0,4.9,4.6,5.5,5.0
9/1/1998,5.4,4.7,4.8,5.0,4.9,4.6,5.6,5.0
10/1/1998,5.4,4.8,4.8,5.0,4.9,4.6,5.7,5.0
11/1/1998,5.5,4.8,4.8,5.0,4.9,4.6,5.8,5.0
12/1/1998,5.5,4.7,4.8,5.0,4.9,4.5,5.6,5.0
1/1/1999,5.6,4.7,4.8,5.1,4.9,4.6,5.8,5.1
2/1/1999,5.7,4.8,4.8,5.1,4.9,4.5,6.0,5.1
3/1/1999,5.8,4.8,4.9,5.2,4.9,4.7,6.1,5.2
4/1/1999,5.7,4.7,4.9,5.1,4.9,4.6,6.2,5.1
5/1/1999,5.7,4.6,4.9,5.1,4.8,4.6,6.1,5.1
6/1/1999,5.6,4.6,4.9,5.1,4.8,4.5,6.0,5.1
7/1/1999,5.8,4.4,4.8,5.0,4.8,4.4,6.1,5.0
8/1/1999,5.8,4.2,4.7,5.0,4.7,4.4,6.1,5.0
9/1/1999,5.9,4.4,4.8,5.0,4.8,4.6,6.0,5.0
10/1/1999,5.9,4.5,4.8,5.1,4.8,4.5,6.0,5.1
11/1/1999,5.9,4.4,4.8,5.1,4.8,4.5,5.9,5.1
12/1/1999,5.9,4.5,4.7,5.0,4.8,4.6,6.0,5.0
1/1/2000,5.8,4.6,4.8,5.0,4.8,4.6,5.8,5.0
2/1/2000,5.8,4.5,4.7,5.0,4.8,4.6,5.8,5.0
3/1/2000,5.7,4.5,4.7,4.9,4.8,4.5,5.7,4.9
4/1/2000,5.7,4.5,4.7,4.9,4.8,4.6,5.6,4.9
5/1/2000,5.6,4.6,4.6,4.9,4.8,4.6,5.5,4.9
6/1/2000,5.6,4.6,4.7,5.0,4.8,4.7,5.5,5.0
7/1/2000,5.6,4.4,4.8,5.0,4.9,4.8,5.4,5.0
8/1/2000,5.5,4.7,4.8,5.0,4.9,4.8,5.4,5.0
9/1/2000,5.5,4.6,4.8,5.0,4.9,4.8,5.4,5.0
10/1/2000,5.5,4.6,4.8,5.0,4.9,4.8,5.4,5.0
11/1/2000,5.5,4.7,4.9,5.1,5.0,4.9,5.5,5.1
12/1/2000,5.6,4.6,4.9,5.1,5.0,5.0,5.5,5.1
1/1/2001,5.7,4.6,4.9,5.1,5.0,5.0,5.5,5.1
2/1/2001,5.7,4.6,5.0,5.2,5.1,5.1,5.5,5.2
3/1/2001,5.7,4.7,5.0,5.2,5.1,5.2,5.5,5.2
4/1/2001,5.8,4.7,5.1,5.2,5.1,5.2,5.6,5.2
5/1/2001,5.8,4.5,5.1,5.2,5.1,5.2,5.7,5.2
6/1/2001,5.8,4.6,5.1,5.3,5.0,5.2,5.8,5.3
7/1/2001,5.8,4.7,5.0,5.2,5.0,5.5,5.8,5.2
8/1/2001,5.9,4.5,5.1,5.2,5.0,5.5,5.8,5.2
9/1/2001,5.8,4.5,5.0,5.2,5.0,5.5,5.7,5.2
10/1/2001,5.8,4.5,5.0,5.2,4.9,5.6,5.8,5.2
11/1/2001,5.9,4.3,4.9,5.1,4.9,5.5,5.7,5.1
12/1/2001,5.8,4.4,4.9,5.1,4.9,5.4,5.7,5.1
1/1/2002,5.7,4.4,4.9,5.1,4.8,5.5,5.6,5.1
2/1/2002,5.7,4.3,4.8,5.0,4.8,5.5,5.5,5.0
3/1/2002,5.7,4.3,4.6,4.9,4.7,5.3,5.5,4.9
4/1/2002,5.6,4.2,4.5,4.8,4.5,5.4,5.3,4.8
5/1/2002,5.7,4.3,4.5,4.8,4.5,5.4,5.3,4.8
6/1/2002,5.6,4.0,4.3,4.7,4.4,5.2,5.1,4.7
7/1/2002,5.4,3.9,4.2,4.6,4.3,5.1,5.1,4.6
8/1/2002,5.3,3.8,4.2,4.5,4.2,5.1,4.9,4.5
9/1/2002,5.2,3.7,4.1,4.4,4.1,4.9,4.9,4.4
10/1/2002,5.0,3.7,3.9,4.3,4.0,4.8,4.7,4.3
11/1/2002,4.8,3.6,3.8,4.1,3.9,4.6,4.6,4.1
12/1/2002,4.7,3.5,3.7,4.1,3.8,4.7,4.4,4.1
1/1/2003,4.7,3.4,3.7,4.0,3.7,4.6,4.4,4.0
2/1/2003,4.6,3.4,3.7,4.0,3.7,4.5,4.3,4.0
3/1/2003,4.4,3.3,3.6,3.9,3.6,4.5,4.2,3.9
4/1/2003,4.3,3.2,3.6,3.8,3.5,4.4,4.2,3.8
5/1/2003,4.2,3.2,3.6,3.7,3.5,4.3,4.2,3.7
6/1/2003,4.2,3.3,3.5,3.7,3.5,4.2,4.1,3.7
7/1/2003,4.1,3.3,3.5,3.7,3.5,4.0,4.0,3.7
8/1/2003,4.2,3.1,3.4,3.6,3.4,4.0,4.0,3.6
9/1/2003,4.2,3.0,3.4,3.6,3.3,4.0,4.0,3.6
10/1/2003,4.1,3.0,3.4,3.6,3.4,3.9,3.9,3.6
11/1/2003,4.1,3.0,3.4,3.6,3.4,3.9,3.9,3.6
12/1/2003,4.1,2.9,3.3,3.5,3.3,3.8,3.9,3.5
1/1/2004,4.0,2.8,3.3,3.5,3.3,3.8,3.8,3.5
2/1/2004,3.9,2.8,3.3,3.4,3.2,3.9,3.7,3.4
3/1/2004,3.9,2.8,3.3,3.5,3.2,3.8,3.7,3.5
4/1/2004,3.9,2.8,3.3,3.4,3.2,3.8,3.7,3.4
5/1/2004,3.9,2.7,3.3,3.4,3.3,3.7,3.6,3.4
6/1/2004,3.8,2.5,3.3,3.4,3.2,3.6,3.6,3.4
7/1/2004,3.8,2.5,3.3,3.4,3.2,3.6,3.6,3.4
8/1/2004,3.8,2.7,3.3,3.4,3.3,3.6,3.6,3.4
9/1/2004,3.8,2.8,3.4,3.4,3.3,3.6,3.6,3.4
10/1/2004,3.8,2.8,3.4,3.5,3.3,3.6,3.7,3.5
11/1/2004,3.9,2.8,3.4,3.5,3.3,3.6,3.8,3.5
12/1/2004,3.9,2.6,3.5,3.5,3.3,3.6,3.8,3.5
1/1/2005,3.9,2.5,3.5,3.5,3.3,3.6,3.9,3.5
2/1/2005,3.9,2.6,3.5,3.5,3.4,3.5,3.9,3.5
3/1/2005,4.0,2.5,3.5,3.5,3.4,3.5,3.9,3.5
4/1/2005,4.0,2.5,3.5,3.6,3.4,3.6,3.9,3.6
5/1/2005,4.0,2.5,3.5,3.6,3.4,3.6,4.0,3.6
6/1/2005,4.1,2.7,3.5,3.7,3.4,3.6,4.1,3.7
7/1/2005,4.1,2.7,3.6,3.7,3.5,3.7,4.2,3.7
8/1/2005,4.1,2.8,3.6,3.7,3.5,3.8,4.2,3.7
9/1/2005,4.2,2.7,3.6,3.7,3.5,3.8,4.3,3.7
10/1/2005,4.2,2.8,3.7,3.8,3.5,4.0,4.3,3.8
11/1/2005,4.3,2.9,3.7,3.8,3.6,4.0,4.4,3.8
12/1/2005,4.3,3.3,3.7,3.9,3.7,4.0,4.3,3.9
1/1/2006,4.4,3.5,3.7,3.9,3.7,4.0,4.4,3.9
2/1/2006,4.4,3.4,3.7,3.9,3.7,3.9,4.5,3.9
3/1/2006,4.4,3.5,3.7,3.9,3.7,4.0,4.5,3.9
4/1/2006,4.5,3.5,3.7,4.0,3.8,4.0,4.5,4.0
5/1/2006,4.5,3.3,3.8,4.0,3.7,4.0,4.5,4.0
6/1/2006,4.5,3.3,3.8,3.9,3.7,4.1,4.4,3.9
7/1/2006,4.4,3.3,3.8,3.9,3.8,3.9,4.2,3.9
8/1/2006,4.4,3.3,3.8,3.9,3.8,3.9,4.3,3.9
9/1/2006,4.3,3.3,3.7,3.9,3.8,3.9,4.1,3.9
10/1/2006,4.3,3.1,3.7,3.8,3.7,3.7,4.1,3.8
11/1/2006,4.3,3.2,3.7,3.8,3.7,3.7,4.1,3.8
12/1/2006,4.3,3.0,3.8,3.9,3.7,3.8,4.1,3.9
1/1/2007,4.3,3.0,3.9,3.9,3.8,3.8,4.2,3.9
2/1/2007,4.3,3.2,3.8,3.9,3.8,3.8,4.2,3.9
3/1/2007,4.4,3.3,3.9,4.0,3.9,3.8,4.3,4.0
4/1/2007,4.3,3.5,3.9,4.0,3.9,3.8,4.2,4.0
5/1/2007,4.3,3.6,3.9,4.0,3.9,3.9,4.3,4.0
6/1/2007,4.4,3.6,3.9,4.0,3.9,4.0,4.3,4.0
7/1/2007,4.5,3.7,3.9,4.1,4.0,4.0,4.5,4.1
8/1/2007,4.5,3.7,3.9,4.1,4.0,4.0,4.5,4.1
9/1/2007,4.7,3.8,4.0,4.2,4.0,3.9,4.6,4.2
10/1/2007,4.7,4.1,4.0,4.2,4.1,4.1,4.6,4.2
11/1/2007,4.6,4.0,4.0,4.2,4.0,4.2,4.5,4.2
12/1/2007,4.7,3.9,3.9,4.2,4.1,4.0,4.6,4.2
1/1/2008,4.6,3.8,3.9,4.1,4.0,4.0,4.4,4.1
2/1/2008,4.6,3.8,4.0,4.1,4.0,4.1,4.4,4.1
3/1/2008,4.5,3.7,4.0,4.1,4.0,4.1,4.4,4.1
4/1/2008,4.6,3.6,4.0,4.1,4.0,4.2,4.5,4.1
5/1/2008,4.7,3.7,3.9,4.1,4.0,4.3,4.5,4.1
6/1/2008,4.7,3.8,3.9,4.1,4.0,4.2,4.5,4.1
7/1/2008,4.6,3.8,3.9,4.1,4.0,4.1,4.4,4.1
8/1/2008,4.6,3.8,3.8,4.1,3.9,4.2,4.3,4.1
9/1/2008,4.6,3.7,3.8,4.0,3.9,4.3,4.3,4.0
10/1/2008,4.6,3.6,3.8,4.0,3.9,4.3,4.3,4.0
11/1/2008,4.6,3.6,3.7,4.0,3.8,4.2,4.3,4.0
12/1/2008,4.6,3.6,3.7,4.0,3.8,4.3,4.3,4.0
1/1/2009,4.5,3.6,3.7,3.9,3.8,4.2,4.3,3.9
2/1/2009,4.5,3.5,3.6,3.8,3.7,4.1,4.2,3.8
3/1/2009,4.4,3.5,3.5,3.8,3.6,4.0,4.2,3.8
4/1/2009,4.3,3.5,3.4,3.7,3.6,3.8,4.1,3.7
5/1/2009,4.2,3.4,3.4,3.7,3.6,3.6,3.9,3.7
6/1/2009,4.1,3.3,3.3,3.6,3.4,3.5,3.8,3.6
7/1/2009,3.9,3.2,3.2,3.4,3.3,3.5,3.7,3.4
8/1/2009,3.8,3.0,3.0,3.3,3.1,3.4,3.6,3.3
9/1/2009,3.6,3.0,2.8,3.1,3.0,3.2,3.4,3.1
10/1/2009,3.4,2.8,2.7,3.0,2.8,2.9,3.2,3.0
11/1/2009,3.2,2.8,2.6,2.8,2.7,2.8,2.9,2.8
12/1/2009,2.9,2.7,2.3,2.6,2.5,2.6,2.7,2.6
1/1/2010,2.8,2.7,2.1,2.5,2.4,2.6,2.5,2.5
2/1/2010,2.6,2.6,2.1,2.4,2.3,2.3,2.5,2.4
3/1/2010,2.5,2.5,2.0,2.3,2.2,2.3,2.3,2.3
4/1/2010,2.3,2.5,1.8,2.1,2.0,2.4,2.2,2.1
5/1/2010,2.2,2.4,1.5,2.0,1.7,2.2,2.1,2.0
6/1/2010,2.2,2.2,1.5,1.9,1.7,2.1,2.2,1.9
7/1/2010,2.1,1.8,1.4,1.8,1.6,2.0,2.1,1.8
8/1/2010,2.1,1.8,1.5,1.8,1.7,1.9,2.1,1.8
9/1/2010,2.1,1.7,1.5,1.8,1.7,1.8,2.0,1.8
10/1/2010,2.0,1.7,1.4,1.7,1.5,1.8,2.0,1.7
11/1/2010,2.0,1.5,1.4,1.7,1.5,1.7,2.1,1.7
12/1/2010,2.2,1.3,1.5,1.8,1.6,1.7,2.1,1.8
1/1/2011,2.2,1.2,1.5,1.8,1.5,1.7,2.2,1.8
2/1/2011,2.3,1.1,1.5,1.8,1.5,1.8,2.2,1.8
3/1/2011,2.3,1.0,1.5,1.8,1.5,1.7,2.3,1.8
4/1/2011,2.3,1.0,1.5,1.8,1.6,1.6,2.1,1.8
5/1/2011,2.4,0.8,1.8,1.9,1.7,1.7,2.3,1.9
6/1/2011,2.3,0.8,1.8,1.9,1.6,1.8,2.3,1.9
7/1/2011,2.3,0.9,1.8,1.9,1.6,2.0,2.2,1.9
8/1/2011,2.4,1.0,1.9,2.0,1.6,2.1,2.3,2.0
9/1/2011,2.3,0.8,1.9,1.9,1.6,1.9,2.2,1.9
10/1/2011,2.4,0.8,2.0,2.0,1.7,2.0,2.4,2.0
11/1/2011,2.5,0.8,2.0,2.0,1.7,2.0,2.4,2.0
12/1/2011,2.3,0.8,2.0,2.0,1.7,2.0,2.4,2.0
1/1/2012,2.3,0.9,2.1,2.0,1.8,2.0,2.3,2.0
2/1/2012,2.3,0.9,2.2,2.0,1.8,2.1,2.2,2.0
3/1/2012,2.3,0.8,2.2,2.0,1.8,2.1,2.2,2.0
4/1/2012,2.4,0.7,2.3,2.1,1.8,2.2,2.4,2.1
5/1/2012,2.3,0.8,2.2,2.1,1.8,2.2,2.2,2.1
6/1/2012,2.3,0.9,2.3,2.1,1.9,2.4,2.1,2.1
7/1/2012,2.4,0.9,2.2,2.1,1.9,2.1,2.2,2.1
8/1/2012,2.2,0.8,2.2,2.0,1.9,2.0,2.1,2.0
9/1/2012,2.3,1.0,2.2,2.1,2.0,2.2,2.2,2.1
10/1/2012,2.2,0.9,2.2,2.1,1.9,2.1,2.2,2.1
11/1/2012,2.3,1.0,2.3,2.1,2.0,2.1,2.2,2.1
12/1/2012,2.4,1.1,2.3,2.2,2.0,2.2,2.3,2.2
1/1/2013,2.5,0.9,2.2,2.2,2.0,2.3,2.4,2.2
2/1/2013,2.6,1.0,2.2,2.2,1.9,2.2,2.5,2.2
3/1/2013,2.6,0.9,2.3,2.2,2.0,2.2,2.6,2.2
4/1/2013,2.6,0.9,2.2,2.2,1.9,2.1,2.6,2.2
5/1/2013,2.7,0.9,2.2,2.2,1.9,2.2,2.7,2.2
6/1/2013,2.7,0.8,2.2,2.2,1.8,2.0,2.8,2.2
7/1/2013,2.7,0.9,2.2,2.2,1.9,2.2,2.8,2.2
8/1/2013,2.8,1.0,2.2,2.3,1.9,2.4,2.9,2.3
9/1/2013,2.7,1.0,2.2,2.2,1.8,2.3,2.8,2.2
10/1/2013,2.7,1.1,2.2,2.3,1.9,2.4,2.7,2.3
11/1/2013,2.7,1.1,2.2,2.2,1.9,2.4,2.7,2.2
12/1/2013,2.7,1.0,2.2,2.2,1.9,2.4,2.7,2.2
1/1/2014,2.6,1.2,2.2,2.2,2.0,2.3,2.6,2.2
2/1/2014,2.6,1.3,2.3,2.3,2.1,2.4,2.6,2.3
3/1/2014,2.5,1.5,2.2,2.3,2.1,2.4,2.5,2.3
4/1/2014,2.5,1.7,2.2,2.3,2.1,2.3,2.5,2.3
5/1/2014,2.5,1.7,2.3,2.3,2.1,2.3,2.6,2.3
6/1/2014,2.5,1.9,2.3,2.3,2.2,2.4,2.5,2.3
7/1/2014,2.5,1.7,2.3,2.3,2.2,2.4,2.5,2.3
8/1/2014,2.5,1.7,2.3,2.3,2.2,2.3,2.6,2.3
9/1/2014,2.6,1.8,2.4,2.4,2.3,2.3,2.6,2.4
10/1/2014,2.6,1.9,2.5,2.5,2.3,2.4,2.7,2.5
11/1/2014,2.7,2.0,2.5,2.5,2.4,2.6,2.7,2.5
12/1/2014,2.8,2.0,2.5,2.6,2.4,2.4,2.8,2.6
1/1/2015,2.9,2.0,2.6,2.6,2.5,2.4,2.9,2.6
2/1/2015,3.0,2.0,2.6,2.7,2.5,2.4,3.0,2.7
3/1/2015,3.1,2.1,2.7,2.8,2.6,2.5,3.1,2.8
4/1/2015,3.2,2.2,2.8,2.9,2.7,2.7,3.1,2.9
5/1/2015,3.2,2.3,2.9,2.9,2.8,2.7,3.2,2.9
6/1/2015,3.2,2.4,2.9,3.0,2.8,2.8,3.2,3.0
7/1/2015,3.2,2.8,3.0,3.1,3.0,2.8,3.2,3.1
8/1/2015,3.1,2.8,3.1,3.1,3.1,2.9,3.1,3.1
9/1/2015,3.1,2.8,3.1,3.1,3.0,3.0,3.2,3.1
10/1/2015,3.2,2.7,3.1,3.1,3.0,3.0,3.2,3.1
11/1/2015,3.2,2.8,3.2,3.1,3.1,2.9,3.3,3.1
12/1/2015,3.2,2.8,3.2,3.1,3.1,3.1,3.2,3.1
1/1/2016,3.2,2.8,3.2,3.1,3.1,3.2,3.2,3.1
2/1/2016,3.1,2.9,3.3,3.2,3.2,3.2,3.2,3.2
3/1/2016,3.1,2.9,3.2,3.1,3.2,3.2,3.1,3.1
4/1/2016,3.1,3.0,3.2,3.1,3.2,3.2,3.1,3.1
5/1/2016,3.2,3.1,3.3,3.2,3.3,3.2,3.2,3.2
6/1/2016,3.2,3.1,3.3,3.2,3.3,3.2,3.2,3.2
7/1/2016,3.4,2.8,3.2,3.2,3.2,3.3,3.2,3.2
8/1/2016,3.5,2.8,3.3,3.3,3.3,3.2,3.4,3.3
9/1/2016,3.6,2.9,3.4,3.4,3.4,3.2,3.4,3.4
10/1/2016,3.7,3.0,3.4,3.5,3.5,3.2,3.5,3.5
11/1/2016,3.7,3.0,3.5,3.5,3.5,3.3,3.5,3.5
12/1/2016,3.6,3.0,3.5,3.5,3.5,3.1,3.6,3.5
1/1/2017,3.7,2.9,3.4,3.5,3.5,3.3,3.6,3.5
2/1/2017,3.8,3.0,3.3,3.5,3.4,3.2,3.7,3.5
3/1/2017,3.8,3.0,3.4,3.5,3.4,3.1,3.8,3.5
4/1/2017,3.8,2.9,3.4,3.5,3.4,3.1,3.8,3.5
5/1/2017,3.7,2.8,3.4,3.5,3.4,3.0,3.7,3.5
6/1/2017,3.7,2.7,3.3,3.4,3.3,3.0,3.7,3.4
7/1/2017,3.8,2.9,3.4,3.5,3.4,3.0,3.8,3.5
8/1/2017,3.8,2.9,3.4,3.5,3.4,3.0,3.8,3.5
9/1/2017,3.7,3.0,3.3,3.4,3.3,3.1,3.7,3.4
10/1/2017,3.6,2.9,3.2,3.3,3.2,3.0,3.6,3.3
11/1/2017,3.6,2.9,3.2,3.3,3.2,3.0,3.6,3.3
12/1/2017,3.6,2.7,3.2,3.3,3.1,3.1,3.6,3.3
1/1/2018,3.6,2.8,3.2,3.3,3.1,3.1,3.6,3.3
2/1/2018,3.5,2.7,3.2,3.2,3.1,3.1,3.5,3.2
3/1/2018,3.5,2.6,3.3,3.3,3.2,3.0,3.5,3.3
4/1/2018,3.4,2.8,3.2,3.2,3.2,3.1,3.3,3.2
5/1/2018,3.4,2.8,3.2,3.2,3.1,3.0,3.3,3.2
6/1/2018,3.4,2.9,3.2,3.3,3.2,3.2,3.3,3.3
7/1/2018,3.4,2.8,3.2,3.2,3.2,3.3,3.2,3.2
8/1/2018,3.3,2.9,3.2,3.2,3.2,3.3,3.2,3.2
9/1/2018,3.3,2.8,3.2,3.2,3.2,3.3,3.2,3.2
10/1/2018,3.4,2.9,3.3,3.3,3.3,3.4,3.2,3.3
11/1/2018,3.6,2.9,3.3,3.4,3.3,3.4,3.4,3.4
12/1/2018,3.6,3.2,3.4,3.5,3.4,3.4,3.4,3.5
1/1/2019,3.5,3.1,3.5,3.5,3.4,3.4,3.5,3.5
2/1/2019,3.6,3.1,3.5,3.5,3.5,3.4,3.5,3.5
3/1/2019,3.6,3.2,3.4,3.5,3.4,3.5,3.5,3.5
4/1/2019,3.7,3.2,3.5,3.6,3.4,3.6,3.6,3.6
5/1/2019,3.8,3.3,3.5,3.6,3.5,3.7,3.7,3.6
6/1/2019,3.8,3.4,3.6,3.7,3.6,3.6,3.6,3.7
7/1/2019,3.8,3.4,3.6,3.7,3.6,3.5,3.7,3.7
8/1/2019,3.7,3.4,3.6,3.7,3.6,3.5,3.7,3.7
9/1/2019,3.7,3.5,3.7,3.7,3.6,3.4,3.8,3.7
10/1/2019,3.7,3.5,3.6,3.7,3.6,3.3,3.8,3.7
11/1/2019,3.6,3.6,3.6,3.6,3.7,3.2,3.7,3.6
12/1/2019,3.7,3.6,3.6,3.7,3.7,3.2,3.7,3.7
1/1/2020,3.7,3.7,3.6,3.7,3.7,3.2,3.7,3.7
2/1/2020,3.7,3.7,3.7,3.7,3.8,3.2,3.8,3.7
3/1/2020,3.7,3.3,3.6,3.7,3.7,3.1,3.7,3.7
4/1/2020,3.6,3.2,3.7,3.6,3.8,3.1,3.6,3.6
5/1/2020,3.7,3.1,3.8,3.7,3.8,3.1,3.7,3.7
6/1/2020,3.6,3.0,3.8,3.6,3.7,3.1,3.8,3.6
7/1/2020,3.6,3.1,3.7,3.6,3.7,3.2,3.7,3.6
8/1/2020,3.7,3.1,3.6,3.6,3.6,3.2,3.8,3.6
9/1/2020,3.7,3.0,3.6,3.6,3.6,3.2,3.7,3.6
10/1/2020,3.7,3.0,3.6,3.6,3.6,3.3,3.7,3.6
11/1/2020,3.7,3.1,3.6,3.6,3.6,3.2,3.7,3.6
12/1/2020,3.6,3.1,3.6,3.5,3.6,3.2,3.6,3.5
1/1/2021,3.5,3.0,3.6,3.5,3.6,3.3,3.5,3.5
2/1/2021,3.5,3.2,3.6,3.5,3.7,3.3,3.4,3.5
3/1/2021,3.5,3.5,3.5,3.5,3.7,3.3,3.4,3.5
4/1/2021,3.5,3.5,3.5,3.5,3.7,3.3,3.4,3.5
5/1/2021,3.4,3.4,3.4,3.4,3.7,3.2,3.2,3.4
6/1/2021,3.4,3.6,3.3,3.4,3.6,3.1,3.3,3.4
7/1/2021,3.4,3.7,3.5,3.5,3.7,3.3,3.3,3.5
8/1/2021,3.4,3.8,3.5,3.5,3.8,3.2,3.3,3.5
